testId,architecture,numViewers,packetLoss,bandwidth,success,avgLatency,minLatency,maxLatency,avgCpu,maxCpu,avgTls,minTls,timestamp
1,p2p,1,0,5mbit,true,0,0,0,0.7286457459305252,4,0.9316005471956224,0.9316005471956225,1754931537976
2,p2p,3,0,5mbit,true,0,0,0,0.7620406108407451,4,0.9316005471956224,0.9316005471956225,1754931617105
3,p2p,5,0,5mbit,true,0,0,0,0.7288169494915593,4,0.9316005471956224,0.9316005471956225,1754931698756
4,p2p,8,0,5mbit,true,0,0,0,0.7627118644067796,3,0.9316005471956224,0.9316005471956225,1754931783029
5,p2p,15,0,5mbit,true,0,0,0,0.727806678972982,3.9603960396039604,0.9316005471956224,0.9316005471956225,1754931871857
6,sfu,1,0,5mbit,true,0,0,0,0.7454304752509148,3,0.9316005471956224,0.9316005471956225,1754931970324
7,sfu,3,0,5mbit,true,0,0,0,0.7618727974492364,5,0.9316005471956224,0.9316005471956225,1754932049059
8,sfu,5,0,5mbit,true,0,0,0,0.7789931535526434,3,0.9316005471956224,0.9316005471956225,1754932130553
9,sfu,8,0,5mbit,true,0,0,0,0.7286457459305252,4,0.9316005471956224,0.9316005471956225,1754932214926
10,sfu,15,0,5mbit,true,0,0,0,0.7961067293169994,7.000000000000001,0.9316005471956224,0.9316005471956225,1754932303393
